"","Habit","Reward","Fear","PHQ9_1","PHQ9_2","PHQ9_3","PHQ9_4","PHQ9_5","PHQ9_6","PHQ9_7","PHQ9_8","PHQ9_9","AUDIT10_Total"
"Habit",0,0.376393717935482,0.462979837674791,0.00629417015925276,0,0,0,0.00492034835601965,0.112177371490364,0.00616175118511869,0,0,0.0266735221835526
"Reward",0.376393717935482,0,0.366800506291206,0,0.0682431904043196,0,0,0,0,0.0613606010844665,0,0,0.070790257009828
"Fear",0.462979837674791,0.366800506291206,0,0.0509773414226764,-0.046266197056196,0,0,0,0,0,0.0473739826034195,0.0201839453742595,0.192299311819405
"PHQ9_1",0.00629417015925276,0,0.0509773414226764,0,0.293240000982501,0.128994731685849,0,0,0,0.0721882787783685,0.047770602948468,0.151670389914732,0.00159575058637954
"PHQ9_2",0,0.0682431904043196,-0.046266197056196,0.293240000982501,0,0.0755263154001155,0.253551145547835,0,0.0220018490283968,0.131696629430057,0.0208535802920164,0,0.0370168437392636
"PHQ9_3",0,0,0,0.128994731685849,0.0755263154001155,0,0.150793856117915,0.142666638604883,0,0.148574220057054,0.0877709246625112,0.130246721922379,0.0580926942153124
"PHQ9_4",0,0,0,0,0.253551145547835,0.150793856117915,0,0.0368458272238873,0.208059392763783,0.0147120414717028,0.0183778792020655,0,0.179811890869355
"PHQ9_5",0.00492034835601965,0,0,0,0,0.142666638604883,0.0368458272238873,0,0.0387693092539507,0.0302614997396377,0.223277188657771,0.0577411295953577,0.254742624990456
"PHQ9_6",0.112177371490364,0,0,0,0.0220018490283968,0,0.208059392763783,0.0387693092539507,0,0.0903968580793279,0.0717032578339369,0.1490544369734,0.0784381025840453
"PHQ9_7",0.00616175118511869,0.0613606010844665,0,0.0721882787783685,0.131696629430057,0.148574220057054,0.0147120414717028,0.0302614997396377,0.0903968580793279,0,0.253561584138671,0.101342838093086,0
"PHQ9_8",0,0,0.0473739826034195,0.047770602948468,0.0208535802920164,0.0877709246625112,0.0183778792020655,0.223277188657771,0.0717032578339369,0.253561584138671,0,0.174654286981792,0.043623786501951
"PHQ9_9",0,0,0.0201839453742595,0.151670389914732,0,0.130246721922379,0,0.0577411295953577,0.1490544369734,0.101342838093086,0.174654286981792,0,0
"AUDIT10_Total",0.0266735221835526,0.070790257009828,0.192299311819405,0.00159575058637954,0.0370168437392636,0.0580926942153124,0.179811890869355,0.254742624990456,0.0784381025840453,0,0.043623786501951,0,0
